filename,text
./data/Client2\sample-001046.mp3,i've already had that experience with my sheep and now it's happening with people
./data/Client2\sample-001047.mp3,that was the law of hospitality
./data/Client2\sample-001048.mp3,he was older and was carrying a small bucket
./data/Client2\sample-001049.mp3,i'll cover the method i use and describe some alternatives
./data/Client2\sample-001050.mp3,the night was warm and i was thirsty
./data/Client2\sample-001051.mp3,the boy was sad as he left her that day
./data/Client2\sample-001052.mp3,kelly was interested in clearing up her brother's death
./data/Client2\sample-001053.mp3,then she took both of his hands in hers and began quietly to pray
./data/Client2\sample-001054.mp3,put down that chair
./data/Client2\sample-001055.mp3,i had the everyone has gary busey's teeth dream again
./data/Client2\sample-001056.mp3,and their eyes spoke of death
./data/Client2\sample-001057.mp3,he's allergic to him
./data/Client2\sample-001058.mp3,henderson stood up with a spade in his hand
./data/Client2\sample-001059.mp3,a man down on earth needs our help
./data/Client2\sample-001060.mp3,the alchemist dismounted slowly and the boy did the same
./data/Client2\sample-001061.mp3,an huge hole had been made by the impact of the projectile
./data/Client2\sample-001062.mp3,the lead had dried into the shape of the pan but it was no longer lead
./data/Client2\sample-001063.mp3,it sure looks good from here
./data/Client2\sample-001064.mp3,i had to test your courage the stranger said
./data/Client2\sample-001065.mp3,when the pan had cooled the monk and the boy looked at it dazzled
./data/Client2\sample-001066.mp3,most of them were staring quietly at the big table
./data/Client2\sample-001067.mp3,i'm never more aware of a room's acoustics than when i'm trying to enjoy a snack i have no intention of sharing
./data/Client2\sample-001068.mp3,i'm never more aware of a room's acoustics than when i'm trying to enjoy a snack i have no intention of sharing
./data/Client2\sample-001069.mp3,i think i found something
./data/Client2\sample-001070.mp3,you are almost at the end of your journey said the alchemist
./data/Client2\sample-001071.mp3,this samantha tommy movement costs you a fortune
./data/Client2\sample-001072.mp3,they formed heaps that are visible a mile and a half away
./data/Client2\sample-001073.mp3,when he was a child that man wanted to travel too
./data/Client2\sample-001074.mp3,and you've told me nothing along the way said the boy
./data/Client2\sample-001075.mp3,he took back his books and packed them away again in their bags
./data/Client2\sample-001076.mp3,but she said nothing
./data/Client2\sample-001077.mp3,i forgot you were here
./data/Client2\sample-001078.mp3,she and heather were talking
./data/Client2\sample-001079.mp3,it may be the gases of the firing that caused the martians inconvenience
./data/Client2\sample-001080.mp3,this ethical question is referred to as the trolley problem
./data/Client2\sample-001081.mp3,and then there were the others who were interested only in gold
./data/Client2\sample-001082.mp3,she refilled her vessel and left
./data/Client2\sample-001083.mp3,the boy wanted to take her hand
./data/Client2\sample-001084.mp3,there were really i think two or three hundred people elbowing one another
./data/Client2\sample-001085.mp3,two days later the merchant spoke to the boy about the display
./data/Client2\sample-001086.mp3,i don't like people to do that because the sheep are afraid of strangers
./data/Client2\sample-001087.mp3,he fondled his bright orange beard
./data/Client2\sample-001088.mp3,starting with his own
./data/Client2\sample-001089.mp3,as i watched the planet seemed to grow larger and smaller
./data/Client2\sample-001090.mp3,he wanted your money he said
./data/Client2\sample-001091.mp3,we'll fix you up
./data/Client2\sample-001092.mp3,the twenty million dollar project is projected to be finished in eight weeks
./data/Client2\sample-001093.mp3,as i watched the planet seemed to grow larger and smaller
./data/Client2\sample-001094.mp3,but one of them seized the boy and yanked him back out of the hole
./data/Client2\sample-001095.mp3,but that was simply because my eye was tired
./data/Client2\sample-001096.mp3,it was the levanter the wind that came from africa
./data/Client2\sample-001097.mp3,it is i who dared to do so said the boy
./data/Client2\sample-001098.mp3,that he had attended a seminary until he was sixteen
./data/Client2\sample-001099.mp3,the woman said she had never heard of such a person and hurried away
./data/Client2\sample-001100.mp3,i tore him apart
./data/Client2\sample-001101.mp3,there were lights in the upper windows of the houses when the people went to bed
./data/Client2\sample-001102.mp3,he had helped him out in a dangerous situation
./data/Client2\sample-001103.mp3,you know what i mean
./data/Client2\sample-001104.mp3,perhaps she forgot all about it
./data/Client2\sample-001105.mp3,you have a mania for simplifying everything answered the englishman irritated
./data/Client2\sample-001106.mp3,august may have ended early
./data/Client2\sample-001107.mp3,you can't believe it's not butter
./data/Client2\sample-001108.mp3,get your guns out
./data/Client2\sample-001109.mp3,i'm going to find that damned alchemist the englishman thought
./data/Client2\sample-001110.mp3,this is the press room
./data/Client2\sample-001111.mp3,that's not true the boy said
./data/Client2\sample-001112.mp3,the boy and the englishman had bought camels and climbed uncertainly onto their backs
./data/Client2\sample-001113.mp3,can i get a woot woot
./data/Client2\sample-001114.mp3,he knew he was stronger than his friend
./data/Client2\sample-001115.mp3,get me walter burns
./data/Client2\sample-001116.mp3,looking down at the spoon he held the boy saw that the oil was gone
./data/Client2\sample-001117.mp3,the englishman said nothing
./data/Client2\sample-001118.mp3,she was accused of making wrong accusations
./data/Client2\sample-001119.mp3,this was the strangest of all things that ever came to earth from outer space
./data/Client2\sample-001120.mp3,i'm coming fatima he said
./data/Client2\sample-001121.mp3,they were on the right track
./data/Client2\sample-001122.mp3,that's when he caught your cold
./data/Client2\sample-001123.mp3,you can't go any farther one of them said
./data/Client2\sample-001124.mp3,and their eyes spoke of death
./data/Client2\sample-001125.mp3,but men began to reject simple things and to write tracts interpretations and philosophical studies
./data/Client2\sample-001126.mp3,it's going to take a while the boy said
./data/Client2\sample-001127.mp3,you been in a fight
./data/Client2\sample-001128.mp3,and they attacked an empty tent
./data/Client2\sample-001129.mp3,aren't you allowed to kiss back
./data/Client2\sample-001130.mp3,the boy said nothing
./data/Client2\sample-001131.mp3,but now the sounds inside had stopped
./data/Client2\sample-001132.mp3,the time must have been somewhere around six o'clock
./data/Client2\sample-001133.mp3,henderson stood up with a spade in his hand
./data/Client2\sample-001134.mp3,you could have died after peace had been declared
./data/Client2\sample-001135.mp3,you don't have to be rich skinny popular or even own a cape to perform a random act of kindness
./data/Client2\sample-001136.mp3,everyone toasted the bride and groom
./data/Client2\sample-001137.mp3,but he still couldn't flee
./data/Client2\sample-001138.mp3,you must love the desert but never trust it completely
./data/Client2\sample-001139.mp3,it must have fallen while i was sitting over there
./data/Client2\sample-001140.mp3,it's a temporary tattoo that looks like a color wheel
./data/Client2\sample-001141.mp3,edinburgh is a dreamlike place to visit
./data/Client2\sample-001142.mp3,the baby definitely has the sniffles
./data/Client2\sample-001143.mp3,look around some time
./data/Client2\sample-001144.mp3,the following night the boy appeared at the alchemist's tent with a horse
./data/Client2\sample-001145.mp3,the shop folks were taking down their shutters and people were opening their bedroom windows
./data/Client2\sample-001146.mp3,the loafers and golf caddies were used to hanging out near the railway station
./data/Client2\sample-001147.mp3,have you seen sheriff pink
./data/Client2\sample-001148.mp3,at that time it was quite clear in my own mind that the thing had come from the planet mars
./data/Client2\sample-001149.mp3,he had used the two stones only once one morning when he was at a marketplace
./data/Client2\sample-001150.mp3,but the boy knew that he was referring to fatima
./data/Client2\sample-001151.mp3,that he had attended a seminary until he was sixteen
./data/Client2\sample-001152.mp3,and one or two persons were returning
./data/Client2\sample-001153.mp3,the greatest authority on meteorites stated that the height of its first appearance was about ninety or one hundred miles
./data/Client2\sample-001154.mp3,you didn't have to do any cleaning he said
./data/Client2\sample-001155.mp3,learn to recognize omens and follow them the old king had said
./data/Client2\sample-001156.mp3,an huge hole had been made by the impact of the projectile
./data/Client2\sample-001157.mp3,i'll show you what i'm doing
./data/Client2\sample-001158.mp3,a large piece suddenly came off and fell with a loud and sharp noise
./data/Client2\sample-001159.mp3,wait for the end of the war
./data/Client2\sample-001160.mp3,the referee decided on a free kick instead of a penalty kick
./data/Client2\sample-001161.mp3,the sun was setting when the boy's heart sounded a danger signal
./data/Client2\sample-001162.mp3,the strange horseman drew an enormous curved sword from a scabbard mounted on his saddle
./data/Client2\sample-001163.mp3,who asked you to get stuck with any of them
./data/Client2\sample-001164.mp3,the time must have been somewhere around six o'clock
./data/Client2\sample-001165.mp3,that's true the boy thought
./data/Client2\sample-001166.mp3,all the joy he had seen that morning had suddenly disappeared
./data/Client2\sample-001167.mp3,what would become of the doctor now that he had saved so many
./data/Client2\sample-001168.mp3,i have the money i need to buy my sheep
./data/Client2\sample-001169.mp3,break this crowd up
./data/Client2\sample-001170.mp3,accidents in nuclear power plants are potentially catastrophic
./data/Client2\sample-001171.mp3,if he were fed on time he wouldn't cry
./data/Client2\sample-001172.mp3,at once he connected the two incidents
./data/Client2\sample-001173.mp3,the tea seemed less bitter
./data/Client2\sample-001174.mp3,i have already described the appearance of that colossal bulk which was embedded in the ground
./data/Client2\sample-001175.mp3,he approached the mass and was surprised at the size and the shape
./data/Client2\sample-001176.mp3,ogilvy told him everything that he had seen
./data/Client2\sample-001177.mp3,you got plenty of money
./data/Client2\sample-001178.mp3,ogilvy told him everything that he had seen
./data/Client2\sample-001179.mp3,the levanter was still getting stronger and he felt its force on his face
./data/Client2\sample-001180.mp3,full steam ahead said the captain
./data/Client2\sample-001181.mp3,the boy waited and then interrupted the old man just as he himself had been interrupted
./data/Client2\sample-001182.mp3,it's called the principle of favorability
./data/Client2\sample-001183.mp3,the omens had been true after all
./data/Client2\sample-001184.mp3,that day he didn't make a cast
./data/Client2\sample-001185.mp3,suddenly there is so much more time in a day because she no longer has to spend hours commuting
./data/Client2\sample-001186.mp3,and then he would ask us to go back to our easels and replicate all the techniques in one go
./data/Client2\sample-001187.mp3,it was his heart that would tell him where his treasure was hidden
./data/Client2\sample-001188.mp3,then suddenly he noticed it with a start
./data/Client2\sample-001189.mp3,you've got a nerve accusing people of things
./data/Client2\sample-001190.mp3,i was just going to
./data/Client2\sample-001191.mp3,the jacket had a purpose and so did the boy
./data/Client2\sample-001192.mp3,what'll i tell him
./data/Client2\sample-001193.mp3,the first rule of don't fight club is let's talk about it
./data/Client2\sample-001194.mp3,he told fatima that at their next meeting
./data/Client2\sample-001195.mp3,he didn't need to seek out the old woman for this
./data/Client2\sample-001196.mp3,we don't know what's in the confounded thing do you
./data/Client2\sample-001197.mp3,the boy brought his horse closer
./data/Client2\sample-001198.mp3,i thought you were going to teach me some of the things you know
./data/Client2\sample-001199.mp3,he took his plate grabbed a knife and fork and scowled at the savagery on television
./data/Client2\sample-001200.mp3,what are you doing there
./data/Client2\sample-001201.mp3,if you want something you gotta go get it
./data/Client2\sample-001202.mp3,the people were also praying to heaven for protection
./data/Client2\sample-001203.mp3,their software does not listen for virtual keypresses
./data/Client2\sample-001204.mp3,and then he perceived it very slowly
./data/Client2\sample-001205.mp3,he came to understand its dodges and tricks and to accept it as it was
./data/Client2\sample-001206.mp3,it could get a whole lot worse
./data/Client2\sample-001207.mp3,he has other things to do first
./data/Client2\sample-001208.mp3,you have a mania for simplifying everything answered the englishman irritated
./data/Client2\sample-001209.mp3,besides that there was a heap of bicycles
./data/Client2\sample-001210.mp3,replace the ts in tim tebow's name with any other consonant to get a star wars character
./data/Client2\sample-001211.mp3,catherine walked alongside the canal
./data/Client2\sample-001212.mp3,you should see the other guy specifically how good at fighting he is
./data/Client2\sample-001213.mp3,it was a bundle of money
./data/Client2\sample-001214.mp3,she wants to send you on a lecture tour
./data/Client2\sample-001215.mp3,i have no information about troops or about the movement of the tribes
./data/Client2\sample-001216.mp3,i think it's plenty terrific
./data/Client2\sample-001217.mp3,some of those who saw its flight say it travelled with a hissing sound
./data/Client2\sample-001218.mp3,i'll take mine now
./data/Client2\sample-001219.mp3,i thought sure you'd remember me
./data/Client2\sample-001220.mp3,i've crossed these sands many times said one of the camel drivers one night
./data/Client2\sample-001221.mp3,can you imagine that
./data/Client2\sample-001222.mp3,can you remember anything at all
./data/Client2\sample-001223.mp3,yes that's what love is
./data/Client2\sample-001224.mp3,most meteorites are more or less rounded
./data/Client2\sample-001225.mp3,and you can meet us at the station
./data/Client2\sample-001226.mp3,why did you want to see me the boy asked
./data/Client2\sample-001227.mp3,because you'll know its dreams and wishes and will know how to deal with them
./data/Client2\sample-001228.mp3,he remembered what the old man had said about offering something you didn't even have yet
./data/Client2\sample-001229.mp3,the sticker was peeling from the item
./data/Client2\sample-001230.mp3,i didn't come here to have you read my palm he said already regretting having come
./data/Client2\sample-001231.mp3,they set off running wildly into the trees
./data/Client2\sample-001232.mp3,it spread through the planet's atmosphere and obscured its more familiar features
./data/Client2\sample-001233.mp3,so he asked if the old man's blessing was still with him
./data/Client2\sample-001234.mp3,i'm doing much better and soon you'll be able to return to your sheep
./data/Client2\sample-001235.mp3,all beverages in this shop are free of alcohol
./data/Client2\sample-001236.mp3,there's nothing more we can do tonight
./data/Client2\sample-001237.mp3,not with my money
./data/Client2\sample-001238.mp3,the alchemist rode in front with the falcon on his shoulder
./data/Client2\sample-001239.mp3,it was starlight and i explained the signs of the zodiac to her
./data/Client2\sample-001240.mp3,i think somebody stole one of his crown jewels
./data/Client2\sample-001241.mp3,they never have to make any decisions he thought
./data/Client2\sample-001242.mp3,then the thing came upon him in a flash
./data/Client2\sample-001243.mp3,a boy came running towards me
./data/Client2\sample-001244.mp3,there is not even the possibility of doing that
./data/Client2\sample-001245.mp3,what does he do all day
./data/Client2\sample-001246.mp3,to make it even faster i only allow onesyllable numbers to be used in labels
./data/Client2\sample-001247.mp3,the process is a bit complicated due to recent changes that have limited the free feature set in version 
./data/Client2\sample-001248.mp3,the boy didn't know what to say
./data/Client2\sample-001249.mp3,i was just asking
./data/Client2\sample-001250.mp3,the vision vanished immediately but it had shaken him
./data/Client2\sample-001251.mp3,the speech will continue
./data/Client2\sample-001252.mp3,he needs three days answered the alchemist
./data/Client2\sample-001253.mp3,saul was infuriating the others
./data/Client2\sample-001254.mp3,well interpret the dream he said
./data/Client2\sample-001255.mp3,the boy went to the well every day to meet with fatima
./data/Client2\sample-001256.mp3,he did find it soon after dawn and not far from the sand pits
./data/Client2\sample-001257.mp3,down below in the darkness were hundreds of people sleeping in peace
./data/Client2\sample-001258.mp3,air was either entering or escaping at the rim with a thin sizzling sound
./data/Client2\sample-001259.mp3,i shall make us some ice cubes
./data/Client2\sample-001260.mp3,from where i am the sun said i can see the soul of the world
./data/Client2\sample-001261.mp3,no offense but your agility leaves a lot to be desired
./data/Client2\sample-001262.mp3,you can't go any farther one of them said
./data/Client2\sample-001263.mp3,and one can always come back
./data/Client2\sample-001264.mp3,the hookahs were extinguished and the guards stood at attention
./data/Client2\sample-001265.mp3,i won't shut up
./data/Client2\sample-001266.mp3,i need ten dollars
./data/Client2\sample-001267.mp3,the three fell silent
./data/Client2\sample-001268.mp3,well it's a long list
./data/Client2\sample-001269.mp3,the angel touched the man's shoulder and they were both projected far into the future
./data/Client2\sample-001270.mp3,i'm going to become bitter and distrustful of people because one person betrayed me
./data/Client2\sample-001271.mp3,you can't go in there until you put this on
./data/Client2\sample-001272.mp3,a hundred nuns stampeded the vatican
./data/Client2\sample-001273.mp3,now go eat your dinner
./data/Client2\sample-001274.mp3,at most they thought that another meteorite had descended
./data/Client2\sample-001275.mp3,the owner of the bar came over and looked as well
./data/Client2\sample-001276.mp3,in one he had read that many years ago a famous arabian alchemist had visited europe
./data/Client2\sample-001277.mp3,i thought about the difficulties in translation that might arise
./data/Client2\sample-001278.mp3,people saw me coming and welcomed me he thought
./data/Client2\sample-001279.mp3,i suppose all this is leading somewhere
./data/Client2\sample-001280.mp3,if i could i'd write a huge encyclopedia just about the words luck and coincidence
./data/Client2\sample-001281.mp3,but she hadn't charged him anything
./data/Client2\sample-001282.mp3,he must be disguised to avoid encounters with thieves
./data/Client2\sample-001283.mp3,the boy mumbled an answer that allowed him to avoid responding to her question
./data/Client2\sample-001284.mp3,he took out his money and counted it
./data/Client2\sample-001285.mp3,the boy was surprised
./data/Client2\sample-001286.mp3,the immense collection of people and animals began to travel faster
./data/Client2\sample-001287.mp3,none of this ha d made an impression on the boy
./data/Client2\sample-001288.mp3,you will be jane doe
./data/Client2\sample-001289.mp3,suddenly he disappeared and i could hear a faint shriek behind the walls
./data/Client2\sample-001290.mp3,the stranger was speaking of things that very few people knew about
./data/Client2\sample-001291.mp3,and he wasn't faring much better
./data/Client2\sample-001292.mp3,if i don't find it i can always go home
./data/Client2\sample-001293.mp3,even the guides spoke very little to one another
./data/Client2\sample-001294.mp3,he remembered something his grandfather had once told him that butterflies were a good omen
./data/Client2\sample-001295.mp3,but then they wouldn't be a part of your future the seer had said
./data/Client2\sample-001296.mp3,on the very first page it described a burial ceremony
./data/Client2\sample-001297.mp3,it seemed so safe and tranquil
./data/Client2\sample-001298.mp3,lots of shepherds passed through selling their wool
./data/Client2\sample-001299.mp3,few people realise the immensity of vacancy
./data/Client2\sample-001300.mp3,i can't think of any reason why she was killed
./data/Client2\sample-001301.mp3,then you'll die in the midst of trying to realize your destiny
./data/Client2\sample-001302.mp3,it was as if it quivered but really this was the telescope vibrating
./data/Client2\sample-001303.mp3,and in that mood he was grateful to be in love
./data/Client2\sample-001304.mp3,i hate sneakers but i am liking these shoes
./data/Client2\sample-001305.mp3,i'm an adventurer looking for treasure he said to himself
./data/Client2\sample-001306.mp3,the boy knew the desert sensed his fear
./data/Client2\sample-001307.mp3,and there were dunes rocks and plants that insisted on living where survival seemed impossible
./data/Client2\sample-001308.mp3,he thought about asking him to give it back but decided that would be unfriendly
./data/Client2\sample-001309.mp3,it had a diameter of about thirty yards
./data/Client2\sample-001310.mp3,but it just so happens i've got a picture of her
./data/Client2\sample-001311.mp3,and your camels will bring you wealth and power
./data/Client2\sample-001312.mp3,the boy smiled and continued digging
./data/Client2\sample-001313.mp3,then came the night of the first falling star
./data/Client2\sample-001314.mp3,it spread through the planet's atmosphere and obscured its more familiar features
./data/Client2\sample-001315.mp3,and for wise men gold is the metal that evolved the furthest
./data/Client2\sample-001316.mp3,the shop folks were taking down their shutters and people were opening their bedroom windows
./data/Client2\sample-001317.mp3,the woman was silent for some time
./data/Client2\sample-001318.mp3,i'm playing for keeps
./data/Client2\sample-001319.mp3,a boy came running towards me
./data/Client2\sample-001320.mp3,even though the sheep didn't teach me to speak arabic
./data/Client2\sample-001321.mp3,have a good time
./data/Client2\sample-001322.mp3,these trousers don't fit very well
./data/Client2\sample-001323.mp3,she looks kind of bored
./data/Client2\sample-001324.mp3,i've got to go to him
./data/Client2\sample-001325.mp3,some storms are worth the wreckage
./data/Client2\sample-001326.mp3,carol saved her brother's life that day
./data/Client2\sample-001327.mp3,i've had this shop for thirty years
./data/Client2\sample-001328.mp3,never heard of such a thing
./data/Client2\sample-001329.mp3,you'll watch them as they grow demonstrating how the world is always changing
./data/Client2\sample-001330.mp3,wish i had a million dollars
./data/Client2\sample-001331.mp3,the englishman was unable to sleep one night
./data/Client2\sample-001332.mp3,about eleven i walked back to my home in maybury because nothing seemed to be happening
./data/Client2\sample-001333.mp3,you can't believe it's not butter
./data/Client2\sample-001334.mp3,and the solid part was called the philosopher's stone
./data/Client2\sample-001335.mp3,he decided to concentrate on more practical matters
./data/Client2\sample-001336.mp3,the runway seems way to short for this type of plane
./data/Client2\sample-001337.mp3,the manufacturer recommends it
./data/Client2\sample-001338.mp3,they're not worth much the englishman answered
./data/Client2\sample-001339.mp3,they're not for sale he said
./data/Client2\sample-001340.mp3,as he did so he talked with the monk about the tribal wars
./data/Client2\sample-001341.mp3,the level ground was blackened as far as one could see and it was still giving off smoke
./data/Client2\sample-001342.mp3,firewalls can be used to protect a network against intruders
./data/Client2\sample-001343.mp3,what's that got to do with it
./data/Client2\sample-001344.mp3,the visual acuity is astonishing
./data/Client2\sample-001345.mp3,my chinchilla eats bread
./data/Client2\sample-001346.mp3,could i please see you a minute
./data/Client2\sample-001347.mp3,but he kept quiet because he had heard what the alchemist said to the monk
./data/Client2\sample-001348.mp3,the two men hurried back and found the cylinder still lying in the same position
./data/Client2\sample-001349.mp3,but this'll teach them a lesson
./data/Client2\sample-001350.mp3,on the following day the first clear sign of danger appeared
./data/Client2\sample-001351.mp3,i need four hundred and fifty dollars in counterfeit money
./data/Client2\sample-001352.mp3,the strange horseman drew an enormous curved sword from a scabbard mounted on his saddle
./data/Client2\sample-001353.mp3,he tried again to concentrate on the pink shades of the desert and its stones
./data/Client2\sample-001354.mp3,that's why i'm here
./data/Client2\sample-001355.mp3,it looked like a rusty gas float
./data/Client2\sample-001356.mp3,you mean you and me
./data/Client2\sample-001357.mp3,the alchemist erased the circle in the sand and the snake slithered away among the rocks
./data/Client2\sample-001358.mp3,the two men hurried back and found the cylinder still lying in the same position
./data/Client2\sample-001359.mp3,well then help me do that the boy said
./data/Client2\sample-001360.mp3,i've got to go to him
./data/Client2\sample-001361.mp3,whatever the thing observed one could find a connection with his experience of the moment
./data/Client2\sample-001362.mp3,i thought about whether we should find coins and models in it and so on
./data/Client2\sample-001363.mp3,you'd better take it easy
./data/Client2\sample-001364.mp3,he found the toilet occupied
./data/Client2\sample-001365.mp3,you were going to go out and conquer the world
./data/Client2\sample-001366.mp3,the city sealer's office
./data/Client2\sample-001367.mp3,besides that there was a heap of bicycles
./data/Client2\sample-001368.mp3,wait for the end of the war
./data/Client2\sample-001369.mp3,few people realise the immensity of vacancy
./data/Client2\sample-001370.mp3,as the englishman left fatima arrived and filled her vessel with water
./data/Client2\sample-001371.mp3,henderson stood up with a spade in his hand
./data/Client2\sample-001372.mp3,i don't know about war
./data/Client2\sample-001373.mp3,among these people were a couple of cyclists a gardener i employed sometimes and a girl carrying a baby
./data/Client2\sample-001374.mp3,nothing's going to happen
./data/Client2\sample-001375.mp3,that's the philosopher's stone and the elixir of life
./data/Client2\sample-001376.mp3,the genies were the spirits of good and evil
./data/Client2\sample-001377.mp3,dense clouds of smoke or dust can be seen through a powerful telescope
./data/Client2\sample-001378.mp3,several figures approached him
./data/Client2\sample-001379.mp3,in his heart he wanted to remain awake but he also wanted to sleep
./data/Client2\sample-001380.mp3,i shouldn't have done that
./data/Client2\sample-001381.mp3,people say strange things the boy thought
./data/Client2\sample-001382.mp3,this morning i found a calculator taped to my wii
./data/Client2\sample-001383.mp3,at the first glance it was really not very exciting
./data/Client2\sample-001384.mp3,the merchant turned to a customer who wanted three crystal glasses
./data/Client2\sample-001385.mp3,gimme the receiving room
./data/Client2\sample-001386.mp3,what am i going to say to elvis
./data/Client2\sample-001387.mp3,who's down there with you
./data/Client2\sample-001388.mp3,what do you mean it's okay
./data/Client2\sample-001389.mp3,the wireless joypad was experiencing connection issues
./data/Client2\sample-001390.mp3,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him
./data/Client2\sample-001391.mp3,with the wars between the tribes it's impossible to cross the desert
./data/Client2\sample-001392.mp3,mrs jason is on the phone
./data/Client2\sample-001393.mp3,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him
./data/Client2\sample-001394.mp3,let me talk to him
./data/Client2\sample-001395.mp3,for at that time it had not occurred to him that it might be hollow
./data/Client2\sample-001396.mp3,the next day he gave his son a pouch that held three ancient spanish gold coins
./data/Client2\sample-001397.mp3,there is only one way to learn the alchemist answered
./data/Client2\sample-001398.mp3,and one or two persons were returning
./data/Client2\sample-001399.mp3,but everyone and his aunt lilian's been through that bag
./data/Client2\sample-001400.mp3,your son went to serve at a distant place and became a centurion
./data/Client2\sample-001401.mp3,the streamer of gas came out towards us
./data/Client2\sample-001402.mp3,everybody knows you're a sweetheart
./data/Client2\sample-001403.mp3,how would the method behave with kernels of different size
./data/Client2\sample-001404.mp3,what boat you sailing on
./data/Client2\sample-001405.mp3,mrs sarah doesn't either
./data/Client2\sample-001406.mp3,besides that there was a heap of bicycles
./data/Client2\sample-001407.mp3,they were all furious when the escapade failed
./data/Client2\sample-001408.mp3,it was linda keller
./data/Client2\sample-001409.mp3,who's that with the hat
./data/Client2\sample-001410.mp3,maybe tomorrow will be better than yesterday
./data/Client2\sample-001411.mp3,you must love the desert but never trust it completely
./data/Client2\sample-001412.mp3,the alchemist dismounted and told the escorts they could return to the camp
./data/Client2\sample-001413.mp3,he fell asleep and when he awoke the sun was already high
./data/Client2\sample-001414.mp3,hires two personal trainers and make one of them train the other one
./data/Client2\sample-001415.mp3,the woman sat down and told him to be seated as well
./data/Client2\sample-001416.mp3,it must have fallen while i was sitting over there
./data/Client2\sample-001417.mp3,let me tell you what will happen
./data/Client2\sample-001418.mp3,the boy saw a man appear behind the counter
./data/Client2\sample-001419.mp3,what are they doing the old man asked pointing at the people in the plaza
./data/Client2\sample-001420.mp3,he wrapped the twigs in a piece of cloth and put them back in his bag
./data/Client2\sample-001421.mp3,if we serve tea in crystal the shop is going to expand
./data/Client2\sample-001422.mp3,i'll give you three minutes to tell me where she is
./data/Client2\sample-001423.mp3,the plumber tightened the leaking valve
./data/Client2\sample-001424.mp3,don't they believe in angels
./data/Client2\sample-001425.mp3,when the judge spoke the death sentence the defendant showed no emotion
./data/Client2\sample-001426.mp3,it is i the boy answered
./data/Client2\sample-001427.mp3,i shall make us some ice cubes
./data/Client2\sample-001428.mp3,so it's better to listen to what it has to say
./data/Client2\sample-001429.mp3,so his heart was quiet for an entire afternoon
./data/Client2\sample-001430.mp3,nobody's trying to steal from you
